AccessibilityDye                     prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts 
RandomResult                         prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
resolveColorInput                    prod=6    tests=28   other=14  | prod: packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/css-colors.ts packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/contrast.test.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/extractor.ts 
ResolveColorOptions                  prod=3    tests=0    other=1   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
resolveCssColorName                  prod=3    tests=19   other=1   | prod: packages/bot-logic/src/css-colors.ts packages/bot-logic/src/input-resolution.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
ResolvedColor                        prod=13   tests=0    other=2   | prod: packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: apps/stoat-worker/src/services/dye-resolver.ts docs/research/discord-alternatives/06d-bot-logic.md 
resolveDyeInput                      prod=2    tests=19   other=7   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: apps/discord-worker/src/index.ts apps/stoat-worker/CLAUDE.md apps/stoat-worker/src/services/dye-resolver.partial.test.ts apps/stoat-worker/src/services/dye-resolver.test.ts apps/stoat-worker/src/services/dye-resolver.ts 
sanitizeEmbedText                    prod=2    tests=6    other=14  | prod: packages/bot-logic/src/discord-markdown.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/preset.ts 
searchDyesByName                     prod=5    tests=12   other=6   | prod: packages/bot-logic/src/index.ts packages/bot-logic/src/input-resolution.ts | other: apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/bot-i18n.ts 
SwatchCharacter                      prod=5    tests=0    other=1   | prod: packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/index.ts | other: docs/versions.md 
SwatchInput                          prod=3    tests=4    other=3   | prod: packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/swatch.ts docs/research/monorepo-2.0/3-8-swatch-frame-port-spec.md docs/versions.md 
SwatchResult                         prod=4    tests=0    other=1   | prod: packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/index.ts | other: docs/versions.md 
SwatchSlotOption                     prod=4    tests=0    other=1   | prod: packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/swatch.ts 
Translator                           prod=21   tests=12   other=27  | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/i18n/index.ts packages/bot-logic/src/i18n/translator.ts packages/bot-logic/src/i18n/types.ts | other: DEPRECATIONS.md apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/handlers/commands/about.ts apps/discord-worker/src/handlers/commands/budget.ts 
TranslatorLogger                     prod=23   tests=0    other=1   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/i18n/index.ts packages/bot-logic/src/i18n/translator.ts packages/bot-logic/src/i18n/types.ts | other: docs/versions.md 
VISION_TYPES                         prod=4    tests=7    other=6   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/index.ts | other: apps/web-app/src/components/accessibility-tool.ts docs/historical/web-app/20251116-Phase12/PHASE_12_CHECKLIST.md docs/historical/web-app/20251116-Phase12/PHASE_12_ROADMAP.md docs/historical/web-app/20251122-DiscordBot/PACKAGE_GUIDE.md docs/historical/web-app/20260531-Mockups/tools/AccessibilityMockup.ts 
