abbreviateDyeName                    prod=6    tests=12   other=5   | prod: packages/core/src/index.ts packages/core/src/utils/index.ts | other: apps/discord-worker/src/handlers/commands/comparison.test.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/svg/CLAUDE.md packages/svg/README.md 
DyeCategory                          prod=2    tests=2    other=7   | prod: packages/core/src/config/dye-vocabulary.ts packages/core/src/index.ts | other: docs/brainstorming/STAINID_ENHANCEMENT.md docs/historical/web-app/20251116-Phase12/PHASE_12_CHECKLIST.md docs/historical/web-app/20251122-DiscordBot/COMMANDS.md docs/historical/web-app/20251122-DiscordBot/PACKAGE_GUIDE.md docs/projects/core/overview.md 
DyeDatabase                          prod=16   tests=20   other=35  | prod: packages/core/src/config/dye-vocabulary.ts packages/core/src/config/facewear.ts packages/core/src/services/dye/DyeDatabase.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/dye/HarmonyGenerator.ts packages/core/src/services/DyeService.ts | other: CLAUDE.md apps/api-worker/tests/lib/dye-serializer.test.ts docs/architecture/dependency-graph.md docs/architecture/overview.md docs/brainstorming/CORE_COLOR_VERIFICATION.md 
DyeDatabaseConfig                    prod=2    tests=0    other=1   | prod: packages/core/src/services/dye/DyeDatabase.ts | other: docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md 
DyeInternal                          prod=11   tests=0    other=0   | prod: packages/core/src/services/dye/DyeDatabase.ts packages/core/src/services/dye/HarmonyGenerator.ts | other: 
DyeSearch                            prod=16   tests=14   other=13  | prod: packages/core/src/index.ts packages/core/src/services/ColorService.ts packages/core/src/services/dye/DyeDatabase.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/dye/HarmonyGenerator.ts packages/core/src/services/DyeService.ts | other: docs/architecture/dependency-graph.md docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md docs/historical/20251214-CodeAudit/01-CORE-LIBRARY.md docs/historical/20260115-v4-uiux-ideas/pre-release-audit/04-PERFORMANCE-TESTING.md docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md 
DyeService                           prod=33   tests=41   other=109 | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-resolver.ts packages/core/src/services/CharacterColorService.ts packages/core/src/services/DyeService.ts packages/core/src/services/PaletteService.ts packages/core/src/services/PresetService.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/lib/services.ts apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts 
DyeServiceOptions                    prod=2    tests=0    other=0   | prod: packages/core/src/services/DyeService.ts | other: 
EXPENSIVE_DYE_IDS                    prod=3    tests=5    other=7   | prod: packages/core/src/index.ts packages/core/src/services/dye/DyeFilter.ts | other: apps/api-worker/docs/reference/dyes.md apps/api-worker/src/lib/validation.ts apps/api-worker/tests/routes/dyes.test.ts apps/api-worker/tests/routes/match.test.ts docs/projects/api-worker/endpoints.md 
ExtractedColor                       prod=4    tests=0    other=2   | prod: packages/core/src/index.ts packages/core/src/services/PaletteService.ts | other: docs/historical/20251207-DiscordBotMigration/MIGRATION_PHASES.md docs/historical/20251207-DiscordBotMigration/TECHNOLOGY_STACK.md 
extractLocaleCode                    prod=7    tests=24   other=2   | prod: packages/core/src/index.ts packages/core/src/services/LocalizationService.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/index.ts 
facewearColors                       prod=3    tests=10   other=14  | prod: packages/core/src/config/facewear.ts packages/core/src/index.ts | other: CLAUDE.md apps/api-worker/src/lib/validation.ts apps/discord-worker/src/services/budget/budget-calculator.test.ts apps/web-app/src/components/__tests__/dye-search-box.test.ts docs/CLAUDE.md 
FetchClient                          prod=4    tests=11   other=0   | prod: packages/core/src/services/APIService.ts | other: 
filterDyes                           prod=5    tests=20   other=21  | prod: packages/core/src/index.ts packages/core/src/services/dye/DyeFilter.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/DyeService.ts | other: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/discord-worker/src/handlers/commands/harmony.test.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/extractor-tool.ts 
FindClosestOptions                   prod=6    tests=0    other=4   | prod: packages/core/src/index.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/DyeService.ts | other: apps/api-worker/src/routes/match.ts docs/research/api/02-endpoint-catalog.md docs/research/color-matching/COLOR_MATCHING_ALGORITHMS.md docs/research/color-matching/IMPLEMENTATION_GUIDE.md 
FindWithinDistanceOptions            prod=6    tests=0    other=2   | prod: packages/core/src/index.ts packages/core/src/services/dye/DyeSearch.ts packages/core/src/services/DyeService.ts | other: apps/api-worker/src/routes/match.ts docs/research/api/02-endpoint-catalog.md 
formatCharaModelLabel                prod=2    tests=3    other=1   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-models.ts | other: apps/web-app/src/components/chara-import.ts 
gearModelKey                         prod=4    tests=9    other=2   | prod: packages/core/src/index.ts packages/core/src/services/chara/chara-models.ts | other: apps/api-worker/docs/reference/chara.md docs/research/chara-equipment-resolution/README.md 
generateChecksum                     prod=9    tests=10   other=2   | prod: packages/core/src/index.ts packages/core/src/services/APIService.ts packages/core/src/utils/index.ts | other: docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md docs/historical/web-app/20251117-v2.0.0/20251119-TODO.md 
getConsolidatedDyeName               prod=3    tests=16   other=5   | prod: packages/core/src/config/consolidated-ids.ts packages/core/src/index.ts | other: apps/web-app/src/components/__tests__/v4/locale-switch.test.ts apps/web-app/src/components/__tests__/v4/result-card.test.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/v4/result-card.ts docs/versions.md 
getFacewearColor                     prod=3    tests=5    other=0   | prod: packages/core/src/config/facewear.ts packages/core/src/index.ts | other: 
