parseBooleanParam                    prod=15   tests=15   other=0   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts | other: 
parseCommaSeparatedIds               prod=4    tests=7    other=0   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts | other: 
ParsedBatch                          prod=2    tests=0    other=1   | prod: apps/api-worker/src/telemetry/schema.ts | other: docs/superpowers/plans/2026-08-29-web-analytics.md 
parseDyeFilters                      prod=6    tests=0    other=1   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts | other: docs/versions.md 
parseEnumParam                       prod=5    tests=6    other=0   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts | other: 
parseFloatParam                      prod=3    tests=11   other=0   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/match.ts | other: 
parseHex                             prod=4    tests=9    other=1   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/match.ts | other: docs/historical/web-app/20251115-Phase9/PERFORMANCE_OPTIMIZATION_GUIDE.md 
parseIntParam                        prod=10   tests=17   other=0   | prod: apps/api-worker/src/chara/router.ts apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts | other: 
parseItemRow                         prod=2    tests=4    other=0   | prod: apps/api-worker/src/chara/xivapi.ts | other: 
parseLocale                          prod=3    tests=7    other=0   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/middleware/locale.ts | other: 
parseMatchingMethod                  prod=4    tests=10   other=0   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/match.ts | other: 
parseResolveBody                     prod=2    tests=3    other=0   | prod: apps/api-worker/src/chara/router.ts | other: 
parseTelemetryBatch                  prod=4    tests=25   other=1   | prod: apps/api-worker/src/telemetry/router.ts apps/api-worker/src/telemetry/schema.ts | other: docs/superpowers/plans/2026-08-29-web-analytics.md 
ParseTelemetryBatchOptions           prod=2    tests=0    other=0   | prod: apps/api-worker/src/telemetry/schema.ts | other: 
pickGlasses                          prod=2    tests=0    other=0   | prod: apps/api-worker/src/chara/resolver.ts | other: 
pickItem                             prod=4    tests=7    other=0   | prod: apps/api-worker/src/chara/resolver.ts | other: 
RateLimitConfig                      prod=5    tests=0    other=19  | prod: apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/services/rate-limiter.ts | other: apps/discord-worker/src/services/rate-limiter.ts apps/moderation-worker/src/middleware/rate-limit.test.ts apps/moderation-worker/src/middleware/rate-limit.ts docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/research/api/04-authentication-and-rate-limiting.md 
rateLimitMiddleware                  prod=6    tests=0    other=13  | prod: apps/api-worker/src/index.ts apps/api-worker/src/middleware/rate-limit.ts | other: apps/moderation-worker/src/middleware/rate-limit.test.ts apps/moderation-worker/src/middleware/rate-limit.ts apps/presets-api/src/middleware/rate-limit.ts apps/presets-api/tests/middleware/rate-limit.test.ts docs/architecture/overview.md 
RateLimitResult                      prod=3    tests=0    other=28  | prod: apps/api-worker/src/universalis/services/rate-limiter.ts | other: apps/discord-worker/src/services/rate-limiter.test.ts apps/discord-worker/src/services/rate-limiter.ts apps/moderation-worker/src/middleware/rate-limit.ts apps/oauth/src/services/rate-limit.ts apps/presets-api/src/services/rate-limit-service.ts 
readBoundedBytes                     prod=5    tests=0    other=0   | prod: apps/api-worker/src/chara/router.ts apps/api-worker/src/lib/bounded-body.ts | other: 
readBoundedText                      prod=5    tests=0    other=1   | prod: apps/api-worker/src/chara/router.ts apps/api-worker/src/lib/bounded-body.ts apps/api-worker/src/telemetry/router.ts | other: docs/superpowers/plans/2026-08-29-web-analytics.md 
regionalNames                        prod=3    tests=0    other=0   | prod: apps/api-worker/src/chara/regional-names.ts apps/api-worker/src/chara/resolver.ts | other: 
RegionalNames                        prod=3    tests=0    other=0   | prod: apps/api-worker/src/chara/regional-names.ts | other: 
RequestCoalescer                     prod=6    tests=5    other=0   | prod: apps/api-worker/src/universalis/services/cached-fetch.ts apps/api-worker/src/universalis/services/request-coalescer.ts | other: 
