A11yCardLabels                       prod=3    tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: 
hexToRgb                             prod=5    tests=9    other=76  | prod: packages/svg/src/base.ts packages/svg/src/frame.ts packages/svg/src/index.ts | other: DEPRECATIONS.md apps/discord-worker/src/handlers/commands/extractor.ts apps/web-app/src/components/__tests__/accessibility-tool.test.ts apps/web-app/src/components/__tests__/budget-tool.test.ts apps/web-app/src/components/__tests__/color-picker-display.test.ts 
idealSwatch                          prod=4    tests=0    other=0   | prod: packages/svg/src/frame.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: 
LEDGER_COLHEAD_H                     prod=3    tests=1    other=0   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: 
LEDGER_FOOTER_2LINE_H                prod=3    tests=0    other=0   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: 
LEDGER_FOOTER_H                      prod=3    tests=0    other=0   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: 
LEDGER_GROUP_H                       prod=3    tests=0    other=0   | prod: packages/svg/src/budget-ledger.ts | other: 
LEDGER_HEADER_H                      prod=4    tests=1    other=0   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: 
LEDGER_ROW_H                         prod=3    tests=0    other=0   | prod: packages/svg/src/budget-ledger.ts | other: 
line                                 prod=47   tests=11   other=307 | prod: packages/svg/src/a11y-card.ts packages/svg/src/base.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/preset-swatch.ts packages/svg/src/swatch-card.ts | other: .gitattributes .gitleaks.toml CLAUDE.md apps/api-worker/CLAUDE.md apps/api-worker/scripts/build-item-names.mjs 
markFooter                           prod=29   tests=0    other=3   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: DEPRECATIONS.md docs/research/monorepo-2.0/3-7-budget-13g-port-spec.md docs/research/monorepo-2.0/3-8-swatch-frame-port-spec.md 
