_resetPatternsForTesting             prod=1    tests=12   other=0   | prod: apps/presets-api/src/services/moderation-service.ts | other: 
SUBMISSION_EVENT_RETENTION_DAYS      prod=2    tests=2    other=0   | prod: apps/presets-api/src/services/rate-limit-service.ts | other: 
SubmissionEventKind                  prod=5    tests=0    other=0   | prod: apps/presets-api/src/services/rate-limit-service.ts | other: 
successResponse                      prod=3    tests=5    other=5   | prod: apps/presets-api/src/utils/api-response.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/src/chara/router.ts apps/api-worker/src/lib/response.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts 
SupportedLocale                      prod=2    tests=4    other=1   | prod: apps/presets-api/src/data/profanity/index.ts | other: docs/specifications/community-presets.md 
toDeadLetterRecord                   prod=3    tests=0    other=0   | prod: apps/presets-api/src/services/notification-service.ts | other: 
toPublicPreset                       prod=4    tests=11   other=2   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: docs/architecture/api-contracts.md docs/projects/presets-api/endpoints.md 
truncateUnicodeSafe                  prod=2    tests=10   other=1   | prod: apps/presets-api/src/services/moderation-service.ts | other: docs/projects/presets-api/moderation.md 
unauthorizedResponse                 prod=1    tests=3    other=11  | prod: apps/presets-api/src/utils/api-response.ts | other: apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/verify.test.ts apps/moderation-worker/src/utils/verify.ts 
updatePreset                         prod=3    tests=13   other=4   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts | other: docs/historical/20251207-PresetRefinements/API_CHANGES.md docs/historical/20251207-PresetRefinements/PROGRESS.md docs/historical/20251214-CodeAudit/05-PRESETS-API.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
validateArray                        prod=1    tests=0    other=0   | prod: apps/presets-api/src/services/validation-service.ts | other: 
validateEnum                         prod=1    tests=0    other=0   | prod: apps/presets-api/src/services/validation-service.ts | other: 
validateEnv                          prod=3    tests=48   other=26  | prod: apps/presets-api/src/index.ts apps/presets-api/src/utils/env-validation.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/README.md apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/types/env.ts 
validateExampleLink                  prod=4    tests=28   other=2   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/validation-service.ts | other: docs/superpowers/plans/2026-08-10-preset-preview-images.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
validateModerationReason             prod=3    tests=0    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/validation-service.ts | other: 
validateModerationStatus             prod=3    tests=0    other=0   | prod: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/validation-service.ts | other: 
validatePresetDescription            prod=4    tests=18   other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/validation-service.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
validatePresetDyes                   prod=4    tests=0    other=2   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/validation-service.ts | other: docs/research/monorepo-2.0/02-stainid-migration.md docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
validatePresetName                   prod=4    tests=39   other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/validation-service.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
