__setTestEnvironment                 prod=1    tests=8    other=0   | prod: apps/web-app/src/shared/logger.ts | other: 
COMPANION_DYES_DEFAULT               prod=8    tests=1    other=0   | prod: apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/constants.ts apps/web-app/src/shared/tool-config-types.ts | other: 
COMPANION_DYES_MAX                   prod=5    tests=1    other=0   | prod: apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/constants.ts | other: 
COMPANION_DYES_MIN                   prod=5    tests=1    other=0   | prod: apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/constants.ts | other: 
compareDyeNames                      prod=5    tests=6    other=0   | prod: apps/web-app/src/components/dye-selector.ts apps/web-app/src/shared/dye-name.ts | other: 
ComparisonConfig                     prod=6    tests=0    other=2   | prod: apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/tool-config-types.ts | other: docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/projects/web-app/tools.md 
ComparisonShareParams                prod=2    tests=0    other=0   | prod: apps/web-app/src/services/share-service.ts | other: 
ComparisonTool                       prod=22   tests=23   other=6   | prod: apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/v4-layout.ts | other: docs/historical/20251211-v3UIRehaul/05-MIGRATION-CHECKLIST.md docs/historical/20260115-v4-uiux-ideas/v4-component-migration-map.md docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/historical/20260115-v4-uiux-ideas/v4-implementation-guide.md docs/projects/web-app/components.md 
ComparisonToolOptions                prod=3    tests=0    other=0   | prod: apps/web-app/src/components/comparison-tool.ts | other: 
ComponentErrorState                  prod=2    tests=0    other=1   | prod: apps/web-app/src/components/base-component.ts | other: docs/historical/20251214-CodeAudit/08-ERROR-BOUNDARIES-IMPLEMENTATION.md 
ComponentLifecycle                   prod=2    tests=0    other=0   | prod: apps/web-app/src/components/base-component.ts | other: 
