parseAlgo                            prod=7    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
parseDyeIdList                       prod=4    tests=1    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
parseGender                          prod=3    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
parseHexColor                        prod=5    tests=1    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
PresetsOGOptions                     prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/presets.ts | other: 
PresetsParams                        prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
renderOGImage                        prod=16   tests=36   other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/renderer.ts | other: 
role                                 prod=44   tests=17   other=79  | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/og-strings.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: apps/api-worker/docs/reference/chara.md apps/api-worker/src/chara/resolver.ts apps/discord-worker/scripts/test-font-rendering.ts apps/web-app/e2e/COVERAGE-GAPS.md apps/web-app/e2e/collection-manager.spec.ts 
RoleKey                              prod=3    tests=2    other=0   | prod: apps/og-worker/src/services/og-strings.ts | other: 
RULE                                 prod=6    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts | other: 
STACKS                               prod=9    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/tokens.ts | other: 
SwatchOGOptions                      prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/swatch.ts | other: 
SwatchParams                         prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
TOOL_TAG                             prod=3    tests=5    other=0   | prod: apps/og-worker/src/services/og-strings.ts apps/og-worker/src/services/svg/default-card.ts | other: 
ToolId                               prod=11   tests=0    other=24  | prod: apps/og-worker/src/index.ts apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: apps/web-app/CLAUDE.md apps/web-app/src/components/v4-layout.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/components/v4/dye-palette-drawer.ts apps/web-app/src/components/v4/share-button.ts 
ToolTagKey                           prod=3    tests=2    other=0   | prod: apps/og-worker/src/services/og-strings.ts | other: 
xStrip                               prod=8    tests=4    other=0   | prod: apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/mixer.ts | other: 
