ALLOWED_ENVIRONMENTS                 prod=3    tests=0    other=0   | prod: apps/oauth/src/utils/env-validation.ts | other: 
STATE_EXPIRY_SECONDS                 prod=3    tests=0    other=0   | prod: apps/oauth/src/constants/oauth.ts apps/oauth/src/handlers/oauth-flow.ts | other: 
StateData                            prod=9    tests=5    other=0   | prod: apps/oauth/src/utils/pkce-binding.ts apps/oauth/src/utils/state-signing.ts | other: 
tokenRouter                          prod=5    tests=0    other=1   | prod: apps/oauth/src/handlers/token.ts apps/oauth/src/index.ts | other: docs/historical/20251207-DeepDive/xivdyetools-oauth-analysis.md 
USER_INFO_TIMEOUT_MS                 prod=4    tests=0    other=0   | prod: apps/oauth/src/constants/oauth.ts apps/oauth/src/handlers/xivauth.ts | other: 
UserRow                              prod=21   tests=11   other=0   | prod: apps/oauth/src/services/jwt-service.ts apps/oauth/src/services/user-service.ts apps/oauth/src/types.ts | other: 
UserServiceLogger                    prod=3    tests=0    other=0   | prod: apps/oauth/src/services/user-service.ts | other: 
VALID_CODE_CHALLENGE                 prod=0    tests=52   other=4   | prod: | other: packages/test-utils/CLAUDE.md packages/test-utils/README.md packages/test-utils/src/constants/pkce.ts packages/test-utils/tests/constants/pkce.test.ts 
VALID_CODE_VERIFIER                  prod=0    tests=78   other=4   | prod: | other: packages/test-utils/CLAUDE.md packages/test-utils/README.md packages/test-utils/src/constants/pkce.ts packages/test-utils/tests/constants/pkce.test.ts 
validateCodeChallenge                prod=3    tests=6    other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/oauth-validation.ts | other: 
validateCodeVerifier                 prod=3    tests=5    other=0   | prod: apps/oauth/src/handlers/xivauth.ts apps/oauth/src/utils/oauth-validation.ts | other: 
validateEnv                          prod=4    tests=29   other=26  | prod: apps/oauth/src/index.ts apps/oauth/src/utils/env-validation.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/README.md apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/types/env.ts 
validateRedirectUri                  prod=5    tests=12   other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/oauth-validation.ts | other: 
validateReturnPath                   prod=3    tests=19   other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/oauth-validation.ts | other: 
validateScopes                       prod=3    tests=6    other=0   | prod: apps/oauth/src/handlers/xivauth.ts apps/oauth/src/utils/oauth-validation.ts | other: 
validateStateParam                   prod=3    tests=10   other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/oauth-validation.ts | other: 
verifyJWT                            prod=3    tests=11   other=18  | prod: apps/oauth/src/services/jwt-service.ts | other: apps/presets-api/CLAUDE.md apps/presets-api/README.md apps/presets-api/src/middleware/auth.ts docs/architecture/api-contracts.md docs/architecture/security-trade-offs.md 
verifyJwtData                        prod=3    tests=8    other=0   | prod: apps/oauth/src/services/jwt-service.ts apps/oauth/src/utils/state-signing.ts | other: 
verifyJWTSignatureOnly               prod=4    tests=11   other=6   | prod: apps/oauth/src/handlers/token.ts apps/oauth/src/services/jwt-service.ts | other: docs/historical/20251207-DeepDive/TODO.md packages/auth/CLAUDE.md packages/auth/README.md packages/auth/src/index.ts packages/auth/src/jwt.test.ts 
verifyJWTWithRevocationCheck         prod=3    tests=8    other=1   | prod: apps/oauth/src/handlers/token.ts apps/oauth/src/services/jwt-service.ts | other: docs/versions.md 
verifyPkceStateBinding               prod=5    tests=0    other=0   | prod: apps/oauth/src/handlers/callback.ts apps/oauth/src/handlers/xivauth.ts apps/oauth/src/utils/pkce-binding.ts | other: 
verifyState                          prod=7    tests=0    other=0   | prod: apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/utils/oauth-validation.ts apps/oauth/src/utils/pkce-binding.ts apps/oauth/src/utils/state-signing.ts | other: 
XIVAUTH_REQUIRED_SCOPES              prod=4    tests=0    other=0   | prod: apps/oauth/src/constants/oauth.ts apps/oauth/src/handlers/xivauth.ts | other: 
