AllowedMentions                      prod=8    tests=0    other=1   | prod: apps/moderation-worker/src/utils/discord-api.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/utils/discord-api.ts 
MessageFlags                         prod=5    tests=10   other=3   | prod: apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/commands/preferences.test.ts apps/discord-worker/src/utils/response.test.ts apps/discord-worker/src/utils/response.ts 
messageResponse                      prod=7    tests=10   other=8   | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/mixer-v4.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/stats.ts 
ModalComponents                      prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/types/modal.ts | other: 
ModalInteraction                     prod=11   tests=0    other=1   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/types/modal.ts | other: docs/historical/20251207-DeepDive/discord-worker-analysis.md 
ModerationQueueEntry                 prod=7    tests=0    other=2   | prod: apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts | other: apps/presets-api/src/services/preset-service.ts docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
moderationRateLimitBindings          prod=6    tests=0    other=0   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/middleware/rate-limit.ts | other: 
ModerationRateLimitBindings          prod=5    tests=0    other=0   | prod: apps/moderation-worker/src/middleware/rate-limit.ts | other: 
NAME_MAX                             prod=2    tests=3    other=0   | prod: apps/moderation-worker/src/utils/embed-text.ts | other: 
pongResponse                         prod=3    tests=3    other=4   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/index.ts apps/discord-worker/src/utils/response.test.ts apps/discord-worker/src/utils/response.ts docs/projects/discord-worker/interactions.md 
PresetAPIError                       prod=9    tests=20   other=9   | prod: apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/commands/preset.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/command-trace.test.ts apps/discord-worker/src/services/command-trace.ts apps/discord-worker/src/services/preset-api.test.ts 
PRODUCTION_ENV_ERROR_PREFIX          prod=5    tests=0    other=2   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/env-validation.ts | other: apps/discord-worker/src/index.ts apps/discord-worker/src/utils/env-validation.ts 
QueryValidationOptions               prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/utils/sql-helpers.ts | other: 
QueryValidationResult                prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/utils/sql-helpers.ts | other: 
RATE_LIMIT_CONFIGS                   prod=7    tests=19   other=0   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/middleware/rate-limit.ts | other: 
RateLimitConfig                      prod=4    tests=3    other=19  | prod: apps/moderation-worker/src/middleware/rate-limit.ts | other: apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/services/rate-limiter.ts apps/discord-worker/src/services/rate-limiter.ts docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/research/api/04-authentication-and-rate-limiting.md 
rateLimitedResponse                  prod=4    tests=3    other=0   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/response.ts | other: 
rateLimitMiddleware                  prod=3    tests=4    other=15  | prod: apps/moderation-worker/src/middleware/rate-limit.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/index.ts apps/api-worker/src/middleware/rate-limit.ts apps/presets-api/src/middleware/rate-limit.ts 
RateLimitResult                      prod=3    tests=0    other=28  | prod: apps/moderation-worker/src/middleware/rate-limit.ts | other: apps/api-worker/src/universalis/services/rate-limiter.ts apps/discord-worker/src/services/rate-limiter.test.ts apps/discord-worker/src/services/rate-limiter.ts apps/oauth/src/services/rate-limit.ts apps/presets-api/src/services/rate-limit-service.ts 
RateLimitType                        prod=6    tests=0    other=0   | prod: apps/moderation-worker/src/middleware/rate-limit.ts | other: 
REASON_MAX                           prod=4    tests=4    other=0   | prod: apps/moderation-worker/src/utils/embed-text.ts | other: 
RecentPresetSummary                  prod=2    tests=0    other=0   | prod: apps/moderation-worker/src/types/ban.ts | other: 
rejectPreset                         prod=3    tests=21   other=0   | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/services/preset-api.ts | other: 
resetRateLimiterInstance             prod=1    tests=7    other=4   | prod: apps/moderation-worker/src/middleware/rate-limit.ts | other: apps/discord-worker/src/index.test.ts apps/discord-worker/src/services/rate-limiter-fallback.test.ts apps/discord-worker/src/services/rate-limiter.test.ts apps/discord-worker/src/services/rate-limiter.ts 
resolveUserLocale                    prod=3    tests=19   other=13  | prod: apps/moderation-worker/src/services/bot-i18n.ts apps/moderation-worker/src/services/i18n.ts | other: apps/discord-worker/src/handlers/commands/harmony.test.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/bot-i18n.test.ts 
restoreUserPresets                   prod=2    tests=6    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts | other: 
revertPreset                         prod=2    tests=15   other=3   | prod: apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/services/preset-api.ts | other: docs/historical/20251207-PresetRefinements/API_CHANGES.md docs/historical/20251207-PresetRefinements/DISCORD_CHANGES.md docs/historical/20251207-PresetRefinements/PROGRESS.md 
safeEditMessage                      prod=10   tests=2    other=0   | prod: apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/utils/discord-api.ts | other: 
SafeJSONOptions                      prod=2    tests=0    other=0   | prod: apps/moderation-worker/src/utils/safe-json.ts | other: 
safeParseJSON                        prod=5    tests=33   other=1   | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/safe-json.ts | other: docs/versions.md 
SafeParseResult                      prod=2    tests=0    other=0   | prod: apps/moderation-worker/src/utils/safe-json.ts | other: 
safeSendMessage                      prod=12   tests=4    other=0   | prod: apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/utils/discord-api.ts | other: 
