addPresetFavorite                    prod=3    tests=23   other=0   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-favorites.ts | other: 
fetchDataCenters                     prod=5    tests=7    other=0   | prod: apps/discord-worker/src/handlers/commands/manual.ts apps/discord-worker/src/services/budget/index.ts apps/discord-worker/src/services/budget/universalis-client.ts | other: 
fetchPrices                          prod=2    tests=11   other=14  | prod: apps/discord-worker/src/services/budget/universalis-client.ts | other: apps/web-app/src/components/__tests__/budget-tool.test.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/swatch-tool.ts 
fetchPricesBatched                   prod=3    tests=12   other=2   | prod: apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/universalis-client.ts | other: docs/projects/discord-worker/commands.md docs/research/discord-alternatives/06d-bot-logic.md 
fetchWithCache                       prod=3    tests=3    other=0   | prod: apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/price-cache.ts | other: 
fetchWorlds                          prod=5    tests=8    other=0   | prod: apps/discord-worker/src/handlers/commands/manual.ts apps/discord-worker/src/services/budget/index.ts apps/discord-worker/src/services/budget/universalis-client.ts | other: 
findBudgetLedger                     prod=4    tests=14   other=2   | prod: apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/index.ts | other: docs/projects/discord-worker/commands.md docs/research/monorepo-2.0/3-7-budget-13g-port-spec.md 
finishCommandTrace                   prod=7    tests=20   other=2   | prod: apps/discord-worker/src/index.ts apps/discord-worker/src/services/command-trace.ts | other: docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md docs/superpowers/specs/2026-08-29-bot-analytics-tier-a-design.md 
FollowUpOptions                      prod=6    tests=13   other=2   | prod: apps/discord-worker/src/utils/discord-api.ts | other: apps/moderation-worker/src/utils/discord-api.test.ts apps/moderation-worker/src/utils/discord-api.ts 
formatAnnouncementEmbed              prod=2    tests=5    other=2   | prod: apps/discord-worker/src/services/announcements.ts | other: docs/brainstorming/discord-bot/changelog-announcements.md docs/brainstorming/discord-bot/v4-implementation-progress.md 
formatRateLimitMessage               prod=3    tests=14   other=1   | prod: apps/discord-worker/src/index.ts apps/discord-worker/src/services/rate-limiter.ts | other: docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md 
Gender                               prod=7    tests=0    other=36  | prod: apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/services/preferences.ts apps/discord-worker/src/types/preferences.ts | other: apps/og-worker/src/types.ts apps/web-app/src/components/__tests__/chara-import-i18n.test.ts apps/web-app/src/components/chara-import.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/locales/en.json 
getAffectedCommands                  prod=3    tests=14   other=0   | prod: apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/services/preferences.ts | other: 
getCachedPrice                       prod=2    tests=6    other=1   | prod: apps/discord-worker/src/services/budget/price-cache.ts | other: packages/core/src/services/APIService.ts 
getCachedPrices                      prod=3    tests=4    other=0   | prod: apps/discord-worker/src/services/budget/price-cache.ts | other: 
getCounter                           prod=6    tests=9    other=0   | prod: apps/discord-worker/src/services/analytics.ts | other: 
getDefaultValue                      prod=3    tests=17   other=0   | prod: apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/services/preferences.ts | other: 
getDyeAutocomplete                   prod=4    tests=15   other=0   | prod: apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/index.ts | other: 
getDyeById                           prod=5    tests=13   other=49  | prod: apps/discord-worker/src/index.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/index.ts | other: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/web-app/src/components/__tests__/accessibility-tool.test.ts apps/web-app/src/components/__tests__/budget-tool.test.ts apps/web-app/src/components/__tests__/comparison-tool.test.ts 
getDyeByName                         prod=4    tests=18   other=2   | prod: apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/index.ts | other: docs/historical/web-app/20251122-DiscordBot/API_REFERENCE.md docs/historical/web-app/20251122-DiscordBot/RENDERING.md 
